,overall,reviewText
304443,0.0,"Purchased some of these drives for a RAID, and half were DOA.  Seagate's drives seem to have taken a nosedive in reliability recently. This is, of course anecdotal, and may not be cause and effect, but it seems that since much of the production was shifted from Thailand and Singapore to China, the drives are not reliable.  I have been using Seagate drives for more than two decades, and have had great success until the last few years.  Maybe it's a coincidence, but the only Seagate drives I've had fail were the ones purchased in the last couple of years, and all were produced in China.  It has been more than a few, now.  Half of the examples of this model I purchased were DOA- one, for example, spun up, but was unformattable.  Drive failed the Seatools tests and reported a huge number of unrepairable bad sectors.  If you can't count on HDs to be reliable, how can you function (computer-wise, of course)?  Of course, I back up redundantly and in real-time, but who wants to go messing around having to constantly restore data?  Also, Amazon's ""Frustration-Free Packaging"" is a little on the skimpy side as far as protection goes."
5537347,0.0,"Ordered 2 sticks, 1 was doa. Got a replacement and both were doa... debating if I should try again...

Pros: the one stick that worked seemed to be pretty fast, didn't run any tests though.

Not satisfied"
4879407,0.0,"Did not work as advertised. You have to use an app that converts whatever video/music is on your phone and then it plays it over ""airplay"". This is NOT an airplay adapter. I could select it as an audio device in iOS control center, but audio still would not work. To be fair, the audio and video worked when I used the garbage app. But this is not airplay."
5962442,0.0,"Second Anker, both epic battery failure. First the premium speaker, dead after about 3 songs. I bought this, received last night, fully charged unit and listened to about 10 songs, today it's dead and is now charging again. Second Anker speaker battery issue."
3578582,1.0,Have had this since October of 2014.  Quick and easy to install.  I store all of my games and other programs on this drive and store my music and photos on my 'old' non-SSD 1TB drive.  Bought a 2nd one (250GB) for a tablet docking station and I plan to buy a 3rd for a custom PC I'm building for the wife.
5622167,1.0,"Great picture. This is the second Sony Bravia I own. Purchased a 40"" about 4 years ago and had zero problems with it. Was needing a new TV for the bedroom and saw this one was discounted (last year model). I don't watch it much, just something to set sleep timer and go to sleep to. Small remote compared to the 40"" and are interchangeable. Also have Sony Blu-Ray DVD player. It synchs with either TV by HDMI cable."
481754,1.0,"I have been using these for many years and they continue to work well and have good sound. The rubber inserts are comfortable in my ears, although I recently replaced them for cleanliness."
4475451,0.0,"Purchased 2 of these SSD's to upgrade  from 240GB to 500GB RAID0 for my Sabertooth X79 EFI 4801 but after I installed them the EFI would only show 1 SSD. So I installed them individually and both worked fine but could not get them to work as a pair no matter witch SSD port I installed them on. I thought maybe an incompatibility so I tried them in my older X58  board and they did the same thing, could see them individually but not as a pair... sending them back."
6009051,1.0,"I must admit, I'm not an expert on the My Passport Wireless Pro Portable External Hard Drive (wow, that's a long product name). The external hard drive was used by a family member on a recent international trip... and she had nothing but positive things to say! One plus is the price point, which I am told is reasonable. Another positive aspect of the product is the battery life, which lasts for approximately ten hours. However, her favorite feature was the USB slot allowing for portable charging of electronic devices. Overall, we would definitely recommend the My Passport Wireless Pro Portable External Hard Drive to others look for a one terabyte hard drive that is conveniently portable."
5496452,1.0,Remote works fine thank you
4136103,1.0,it has worked like a champ for a year with no hiccups and massive transfer of music and movies.  I have no problem recommending this.
5937486,1.0,"This was much more than I had expected.  My Fire HD 10 never felt this good before.  The case does everything it says and also provides excellent protection for the physical tablet.  Turns on and off as I open the case.  Provides drop protection, of which I have accidentally tried out a few minutes after I installed the cover.  It worked!!  And, It really looks sharp.  I should have done this long ago.  RH"
3988685,0.0,"We used it for our apartment next to the parents house that had dsl. But kept turning 'orange' instead if staying yellow light. And kept making us turn it off and on, unplug and plug again to properly work. Finally we gave up and returned this item"
6060044,0.0,"It's cheap for a reason.  It played fine through my phone, but when I played it through my computer it was full of static. I connected a Jawbone through my computer and it worked fine, so it was clearly a problem of the speaker.  I will return this speaker and spend more money for better quality."
640424,0.0,"Terrible.
I bought two from two different sellers. One from each seller. One never worked, the other one worked once. I after a few shots it overheated and stop working.
I was so disappointed, that i put them I didn't know where, and by the time I found them it was too late to ask for a refund. Terribly cheap light."
1169107,0.0,"I bought this TV after reading all of the other reviews which were admittedly mixed. I can't get a single TV station to come in no matter where I have the TV.  Our ""local"" stations are about 35 miles away and that must be too far.  I will eventually buy an antenna, to see if that might help, but that may only add to the expense and perhaps the frustration."
2204272,1.0,"Of course I had to get it in army green..

So my eee pad was dropped a few times by my kids and the bezel was severely twisted and popping out and cracked. This solved my problem of not being able to find a replacement ( the only one I could find was overseas for close to $100!)

It fits so tightly I don't need to drop more money on a replacement bezel. And it looks so cool now."
585376,0.0,"Inexpensive powered Speakers meant for listening not enjoying.  Absolutely no fidelity to the sound.  Muffled with no presence, no high end to speak of.  If you listen to audio books these would do.  Not sure what else.  Currently looking for something better for a little turntable and pre-amp set up.  If these were my only speakers they would have been dumped in the trash can a while back."
1004717,0.0,"This is not a Y splitter the red side is just power... I have no idea what it is meant to power, but it is basically useless if you plan to hook 2 computers to 1 printer"
2783041,0.0,"Terrible audio both transmit, and receive. Not heavy duty for everyday use. Save your money and get the anytone or Kenwood versions."
680160,0.0,"I went looking for a decent record player to listen to my records with and settled on the Jensen . Buying this turntable was a terrible mistake . It won't play records at all . The cheap warped plastic platter wobbles like a Pringle making it impossible to even start the stylus on the record . I scratched the heck out of two records trying to get it to work . I then removed the e-clip that holds the platter down to take a look underneath and see what it rides on thinking that maybe it could be adjusted in someway . No such luck , it's just a thin molded piece of plastic with a bushing through the center that spins on a spindle . There's no way to fix that , the platter is simply deformed . It's not worth destroying your records , buy something better ."
867779,1.0,I bought two of these and installed them into a small enclosure and they sound great. I don't really have anything to compare them against though.
6130453,1.0,Solid build. A great alternative or backup to a 410 geared head. I use it with an arca swiss adapter.
385378,0.0,I thought it was junk and returned it.
2400859,0.0,"If you haven't found out yet, this keyboard is attached to the aluminum body of the computer by approximately 100 screws, replacing this keyboard took me about 5 hours of labor (complete tear down of the computer + reassembly).
After I finished reassembling the computer, I noticed THE KEYBOARD HAD 4 KEYS (H R / 6) COMPLETELY UNRESPONSIVE.
Although the keyboard is defective, I am not returning it because I'm not going to invest the time to take the computer apart again."
3762470,1.0,fit perfect and works very well!! A better price than what the stores offered.
4646436,0.0,D.O.A. should have known by the price what I was getting. Did not work right out of the box. Either through USB or headphone plug. Another quality product offered through amazon.
2131572,1.0,I would highly recommend using this cable for connecting components in a tower instead of its shorter counterpart. It is much more flexible and allowed for much turning/maneuvering.
6214943,0.0,"If they send you one of this mouse for free, do yourself a favour and send it back!! It's the worst mouse I have every bought. Its size, its feel and its functionality all add up to make it a crappy item!!"
5856944,0.0,"Purchased this, worked for a day, then had the same issue of disconnecting and then a horrible clicking noise would come from it. Figured it was just this one, returned it and purchased the identical item. Now the new one has its own issues connecting and staying connected. Very disappointing."
5673380,0.0,"I ordered the mini in this brand and it was a fake, I did not test this one, but I am sending it back."
1130040,0.0,Bought these discs and am now after over a year finding that they do not play.  They did work when recorded but now my files are gone.  Would never buy Memorex Blue Ray discs again - have seen other reviews to this effect.  I don't write many reviews but am so upset that I had to write this one.  Wasted a lot of money on the discs and then lost the files.  And I have more of them left from a second purchase - don't know what to do with them.
4194689,0.0,Clips on adapter ring are to small and the lens hood keeps falling off. I am Truly disappointed in this product.
859606,1.0,"Coming from many PCs in my life, I have to say I couldn't be more pleased with the Macbook PRO. The LCD is sparkling clear, the keyboard is strong and quiet, the speakers are decent, clear (but a bit underpowered) and the software is great. Go check out Apples website before buying and look at the included ""iLife"" products. It is truly amazing that this software is INCLUDED with mac! Also check into student/education or other discount programs to see if you qualify. I would advise a 3 year warranty to be safe, laptops have issues more often than desktops according to most! Also, grab a bluetooth mouse, and a cover/case on the way out and youll be all set!
Enjoy the quality!"
89811,1.0,Does what its suposed to do.
1126284,0.0,"cheqp piece of Chinese s***. I threw it away. It was flimsy and couldn't hold my laptop, then it cracked and i used some pretty fowl language. Piece of s***. Broke the first time I used it. DO NOT BUY THIS PIECE OF JUNK!!"
1779540,1.0,"Great cable instead of having to replace to the whole shure headphone for $200.  I use the shure's almost everyday for exercising and after a year, the cable was starting to short out.  Luckily Amazon had them in stock and I received them quickly as usual.  It seem almost the same quallity as the original, although part of the cord is a tiny bit smaller than the original.  The package said ""Made In China"" and I am not sure if they are Shure certified or not.  But the cable assembly works great and I will probably get another for a back up.  I don't know what the other reviewers are complaining about this cable for- a $30 cable versus $200 for new headphones.  I guess some people will always see the glass as half empty instead of half full.  BUY IT and you won't be disappointed nor will your wallet."
192571,0.0,Unecessary and useless. It's a bit on the flimsy side (thiner plastic than I was expecting) and not really good for thick utility cords. I'm going to give this to someone as a gift.
1983598,1.0,Amazing for the price. Extremely bright. I bounce it off ceilings and panels for a much softer effect. The knobs stay firm and it is stable on a tripod (I don't run and gun with this much). The huge plus is the battery meter in the back. That's just something I didnt' expect in a $30 product.
5353366,0.0,Didn't work for my tablet or maybe it was just the headphones
2948948,1.0,"This cover turned out much better than I expected.  The leather looks really nice, with white stitching accentuating the black color.  It has a magnetic closure that wakes the iPad automatically when it opens.  The hand strap is a nice touch, along with the holder for business cards, credit cards, or ID.  Some reviewers mentioned a smell, but I never noticed one.  I highly recommend this cover to give your iPad Mini some classy protection."
1075984,0.0,I order this close to 2 years ago and just did not like it. It was very cheap and flimsy. I only used it about twice before giving up on it and buying something better.
5351679,1.0,The color is amazing not to fond of the pure white top of it but a case will fix that lol. It's slim and easy to use the packaging was great so it was safe on delivery and so far so good no complaints if you are looking for a laptop with basic  needs for it then this is the one for you. I will keep a update going once I have it longer but so far so good!
2008734,1.0,"I've been using this keyboard and mouse for several years now and the mouse has just developed a slight catch in the roller wheel, but has worked flawlessly up until now"
3255678,1.0,It's an old TV so I also had to buy the converter to go from the AV connection to the coaxial on the TV but once I got it hooked up it worked great.
3989527,0.0,Was suggested with a product and it doesn't even work with the product it was suggested with
3463275,1.0,"great deal, great item"
6327390,0.0,Started acting up a month after use. Stopped working completely after three.
3294613,1.0,"I got these when they were on sale for $16.00 (on Amazon) and they are worth every penny! In fact, I'd probably even pay full retail for these. for this price range, I don't think you can buy better sounding ear buds. the sound is crisp, clear and deep! I have another pair of ear buds that I compared them to, and these Symphonized ear buds blew the others away! Not sure if it has anything to do with the ""wood"" construction (I assume so), but the clarity & rich sound is fantastic... highly recommended!"
2246594,0.0,"These cameras are not ready for prime time.  After several days fiddling with them trying to get them to send snapshots by FTP and EMail, could never get them to work reliably.  Picture is nice, but only if it's reliable.  Tech support people were pretty good, but they always had to put you in queue and call back.  All the documentation was written in Pidgin English."
1341709,1.0,"This is the best portable speaker on the market. I've seen several and this offers the loudest fullest sound out of any speaker its size. This is a high recommended buy, I would recommend this to anyone looking for great sounds in a small package for a decent price. I've even ordered two more."
4124265,0.0,"A little concerned after reading other similar replacement power supply reviews. This one works perfectly as it should, it has indicator light when charging MS Surface also has the extra USB port. It does say original so believe it. Also it is pricey but you will pay a lot more for other replacement power supply's that don't work or fail quickly. Full disclosure I did apply heat shrink tape at the weak spots on cable just as a precautionary measure.

(03/21/2017) As a follow up this replacement Ps didn't last 6 months. I replaced with another product that is still working (see review for that ps.). I repaired this one (wiring connections) several times to keep it going but alas no more."
4131903,0.0,"I tested a new unit today (hooked to a computer) and I am quite dissatisfied with it and returned it.  I trained it on a neon orange marker with good (indoors) lighting and the camera would also report parts of a dark brown desktop and parts of a white wall too.  Maybe I have a defective unit, but this was quite useless.  Also there is ZERO CUSTOMER SUPPORT (their website does not even list an email or phone for contact)."
2336517,0.0,virtually useless. sometimes you can drive for 3-5 miles and it'll constantly be beeping. it's so bad detecting false positives. makes you a super paranoid driver and actually is less safe.
6281993,0.0,"I bought this hoping it would work on my new Lumix G3.  It almost did.  When pressing the remote button half way it would focus (lights on both receiver and remote also turned green), but pressing the button all the did not take a picture.  Oddly enough, pressing the button on the receiver would take a picture, but would not pre-focus.  Another wired remote I bought on Amazon works flawlessly.  Returning this."
1732452,0.0,"Edited review:

1 year out, this thing is terrible.  I literally haven't used it in months, it looks and feel like an old car that's about to break down.  I have a Lenovo laptop 3 years old and it looks 5x better than this and runs much more smoothly.  It gets dirty quickly and when it does for some reason it never comes out.  Macbooks and other upper tier notebooks do not have this problem as much, HP Acer and Asus products do.  I was expecting a netbook I paid over $400 for to have a similar return in quality; it only lasted a few months.

I think the biggest problem is no proprietary software- so if you installed a Linux operating system you can never re-install or do a factory reset unless you pay over $100 for a new version.

Overall I highly, highly regret this purchase and would take back the $430 in a heartbeat or even $150 right now."
1832541,1.0,It serves well for protecting the scanner and also a place to store the USB cord. There is no need to remove the scanner from the case to use it which is an advantage in time saving
4350818,0.0,"trust a company that doesn't know the difference between 6"" (inches) and 6' (feet). I was wondering who on earth would want such a tiny backdrop. Maybe it's for hamster models."
34374,1.0,Replaced one I have used for years.  Works great.
246516,0.0,"Really poor quality, cheap plastic feel, I feel it's so bad and unsafe that I didn't keep it !"
5229427,1.0,Love the quality. Thought it would be a cheaper type made pole. Not bad for the price.
3367695,0.0,"I hate mine!  Given to me as a gift from my wishlist. Markings are way too small to read,  had trouble getting a micro sd to insert properly from the beginning, will not read micro sd at all now!"
5481672,1.0,"This is a re-order, Having a birthday party and having a photo booth.  This is going to be the favor our guest take home.."
6128213,1.0,"This DVD burning isn't as cut and dried as some would like you to believe. However, just because you get a bad burn doesn't mean it is the discs. There is a whole bunch of stuff going on in your computer that can affect the burn.

I have a Dell 1.2 ghz, with a Lite-On 8x drive, running Nero 6 OEM. Pretty generic, but these Memorex 8x and now 16x discs burn just fine. In fact, I have burnt about 600-800 of these discs and have had very few fall-outs. Not enough to justify buying the ""better"" quality discs.

Now for the caveat: I did have one spate of problems, caused by a not so well behaved antivirus program. I tossed out the antivirus program and went over to Avast!(it's free, check with Microsoft). Problem solved even though I run Winamp and a logging environmental sampling program while burning discs.

We burn hundreds of discs for a hospital lecture series. They are being played on all sorts of equipment, including some pretty banged up junk. So far I have not received one complaint about the discs only suggestions about the content.

Before you spend big bucks on some ""better"" disc, pop up your task manager in XP and see if there is some runaway task that needs some discipline. Also, if you must run ""better"" discs then do a surface test in Nero. I bet the ""better"" disc will look very close to failure if the Memorex failed."
4427110,0.0,"brokevafterv3vdays.vallvthevvsvarevsupposedvtovbevavspace.vdidn'tvdovanythingjustvdoesntvwork.
The above was typed using the Anker keyboard. This was typed with the Ipad keyboard."
3574117,0.0,The plastic pieces broke off to easily when I used them to open up a tablet
5722748,0.0,"Didn't work. I ended up buying a $40 brand-name Wifi extender at Wal-Mart which worked great. I guess you can't always trust these ""amazing"" deals on Amazon."
4073199,1.0,Works in the Samsung Tab 4 10.1 and the Tab 3 10.1. Takes no time at all to install and use.
2686346,1.0,Works as decribed. Arrived on time. I use it with my Acer a100 android tablet. I bought it used and it was missing the charger.
1681800,1.0,"Using it right now to type this, NICE!"
6231898,1.0,These speakers sound great with my Alpine amplifier. Installation went smooth as well. No complaints here. Will recommend them. Thanks
3301235,1.0,Fits both of my monitors.
3331498,1.0,"Better than the Tadpole Soft Shutter Release. You do have to make sure you screw it on tightly, and check every now and then."
5900704,0.0,"Very slow to copy to it with the regular USB 3.0, and the micro-USB DOES NOT WORK at all - it won't even connect all the way with my devices!!  VERY UNHAPPY"
5470141,1.0,Great case for Ipad Mini 4
3296324,0.0,These are terrible even for $8. Muffled yet echoing sound. Not even suitable for spoken word/podcasts. Do not waste your money.
5766281,0.0,"NOT HIGH DEFINITION AS ADVERTISED.  The camera only has 640x480 resoloution.  Additionally, they are a nightmare to set up.  BEWARE!"
3253369,0.0,will not install on a hp pavilion all in one install error with no way to get around it....
2877295,0.0,This cable did nothing to solve my Kindle Fire HDX issues. It wouldn't let me boot into fastboot mode to try and factory reset it.
1190500,0.0,"I bought two of these batteries. They are now about 7 months old. One works well, the other is dead, won't take a charge."
4660660,0.0,"I love the form factor of the Miccus mini jack Bluetooth receiver and use it mostly to use my earbuds untethered from my iPhone. I also love that I can use the button to pause and skip tracks. So why only one star? The performance of the Miccus is lackluster to say the least. I often walk with my phone in my pants pocket and the Miccus hanging at my neck. You would think the range of reception would be a non-issue at such a close range but I still experience frequent drop-outs. The reception is strangely unpredictable, at times dropping out only several feet away from the source, at other times letting you stray thirty feet or so and separated by a floor or wall. The power saver mode does not work at all. I listen before bed at night and wake up hours later to find the Miccus still on even though the music ended long ago. As a result, the battery life is very disappointing, lasting only a few hours of actual use before repeatedly beeping a warning and then dying out. Lastly, that constantly blinking blue light is unnecessarily annoying and especially distracting in a darkened room. I was hoping the Miccus would be the solution for me but now find myself going back to tethered earbuds for the reliability. If anyone out there has found a better wireless option than this I would sure like to know."
5887427,0.0,"The top of this cover does not stay attached to the laptop, it's actually really really pretty, but the edges of the top aren's deep enough to stay attached unfortunately, needs improvement."
4896422,0.0,"Rubber tips tore after one day of use.  Also, the stylus body is metal so I get nervous that my 5-yr old will potentially scratch the screen.  Should be plastic."
527459,0.0,They died after three months. WTH
5443113,0.0,Don't last.great idea but the small USB connection comes lose and broke my android phone's connector with it. Claims it is charging but power is draining faster. With the phone it would be that it was charging then beep that it wasn't.  Don't buy it.
3826430,1.0,"Very nice case for the price....this is the case I will use most of the time with my iPad Air (I bought three.....)  First, it was a real deal for under $10.  The case is not leather, but faux leather--which is great for me since I am a vegan.  It is a very lightweight case, fits the iPad Air perfectly and is thin enough that it doesn't seem obtrusive, yet it feels like it will protect the iPad well....when it closes, it turns the iPad off--so the sleep function works perfectly-- and it is great if you want to watch a movie on it as the angle of the viewing stand is perfect.  Why pay a lot more money in the Apple store when you can get a great case on Amazon for so much less money!  I am highly pleased and recommend this to all...."
5461726,0.0,"This  device would not work with anything but ipad over the internet. Locally, OS X Yosemite browsers not able to see video.  Android app ""not compatible"" with my 3 android devices (Kit Kat). No access to individual streams appears possible via http. I admit to the possibility that I could have missed something, but directions were poor and absolutely no response to ""support"" emails. It's going back."
4415384,1.0,This item worked as described.
4511850,0.0,"I returned after a few days. Poor sound, poor fit, poor design. Blue tooth was the only thing solid about it. They forgot the rest."
6064317,0.0,I cannot pair this case with my iPad pro
2204809,0.0,i am sure these would work with any phone BUT the iPhone even tough they advertise they do.  Tried several time to get the me to work and sync but never did.
566091,1.0,"Very nice cable, works well!"
362627,0.0,Too small for the price and too much packaging. A waste of money and an ecological waste. Avoid this.
288717,1.0,"Very Good, fit perfect"
5037614,0.0,if you have a big head don't buy them they hurt and give head ache i want my money back
6172527,0.0,"The first one died after ~3 months of service, so I should've seen that the second one was going to die soon.  I chalked it up to a fluke and paid the price.  Would not buy again, recommend you do not buy."
5636777,1.0,"If you buy a MAC, you never want to go back to a PC"
3213670,0.0,"I've never had issues with any receiver and Onkyo was the first to accomplish that. Without any apparent reason the receiver ceased to transmit audio through the speakers. I tried several configurations without success and then took the product to a Service representative which said that I would have to change the HDMI card that costs 90% of the price of a newer version of the Receiver. The sound is getting through the HDMI cables and working fine on my TV, but looks like the speaker audio is also controlled by the same card and any repairing would demand changing the whole thing. I'll just ditch the thing and get back to Yamaha."
5475678,1.0,This case was of great quality. Strong magnets and a durable cover.
777483,0.0,"These headphones have great sound.  However, my pair lasted less than a month.  I received it around the 13th of June.  The right headphone blew out today, the 6th.  I used them for about 2 - 3 hours a day."
6623850,0.0,Not fix on gopro 4 silver case
5692567,0.0,"It's a nice finish except it was missing a set screw (opposite of adjusting swivel screw) and it was not locking up. This caused the bottom (black rim) to fall off. I was able to add a screw (I'm mechanically inclined) and fix the issue but be aware of it's multiple piece parts (5 in total). When you loosen the screw to rotate the ball head the lower black rim rotates and it's a mess... too many loose pieces while using buy something else with a better structure. I have another brand I paid $12 for and it works great, I guess you get what you pay for."
1706022,0.0,"Unfortunately, this cable did not work in my USB 3 slots.  It would operate as a USB 2 cable in a USB 2 slot but when put into USB 3 slot, my Passport would not power up.  I verified that my USB 3 slots were function by connecting my Passport directly to the slot and also with another cable and everything functioned.  It was only when I tried to use this extension cable in the USB 3 slot that things failed."
5208295,1.0,Had more features than I knew. Very happy with the purchase. Bought one for myself and my girl. Would buy more for gifts to others
2273678,1.0,thanks worked great I return I will do business with you again what I expected I can recommend to get on time and as described
695091,1.0,"If you want to carry your camera to the beach, pool, snorkeling, diving, rain, snow... that's the accessory you'll need. This will ensure your precious pictures will be safe along with your camera. Canon SD870IS is one of the best if not the best compact camera ever. Adding the underwater case to it makes it virtually universal. Personally I love it and would buy it again if I have to."
5957588,0.0,"I bought these as a temporary solution for upgrading a friend's system, and in less than 24 hours the graphics card now fails to output any signal (checked with other known good systems).

I thought these would at least be safe enough to use short-term, but no dice."
3957697,1.0,Great for short usb cables.
1461160,1.0,works great. looks very nice. heavy with metal box.
6478695,0.0,"Have not received anything on this product, no documents?"
4519173,1.0,"Best bang for the buck. Get this if you want the largest space for the money. You don't need to get the Samsung EVO which is much more expensive.

The speed difference is only noticeable in benchmarks, not on realworld usage."
164175,1.0,"I just recently purchased this lens. It's fantastic for shooting indoors where you want to use available light. Very nice bokeh, not as good as my 50mm 1.4 but still very happy with it! Great lens for a very good price. If you can't afford one of the wide angle L lenses or you are using a crop sensor body and want a ""normal"" prime this is definitely a good buy! Highly recommend!"
298165,0.0,"bought a pair  and they didn't last long at all and I use lightly, foam  covers came off and very hard to put back on, Invested in a pair of the new Marshall headphones and all's been great since...."
5948114,1.0,"Doesn't disconnect continuously as other many usb hubs I've tried. It's only 4 ports but It's better than having only 1 hehe. If I could, I'd purchase another want with more ports, but I can work with 4 ports for now. It's small, I can place it anywhere, the cable is short but I can get an USB extender, that's not a big deal. It's solid, doesn't feel cheap. The ports are smooth when you connect any plug. The light stays on even when my computer is turned off, but I think this is because I'm using Windows 8.1 and it has the ""fast boot"" option turned on, so the computer is not really ""off"", it's in a ""hibernating"" like state. So if I turn this option off, the light should turn off as well.

Very satisfied."
2108527,0.0,2 months after my purchase just stop working. Monster definitely sucks when it comes to headphones.
4164655,0.0,"Way bigger than I thought, and it just does not do what I need it to do."
4439731,1.0,"Great product, price can't be beat.  Sturdy, compact storage case.  Great size tools for small
projects.  Would highly recommend."
6235467,0.0,"It worked great for a few months.  And then one morning I tried to turn it on and the screen back light goes on, but no image - menus, nothing.  It still plays music, but you can't navigate the menus, so what is the point.  My wife has a sansa and that is what I will buy to replace this junk."
6097081,0.0,Didn't work and blew my house circuit.
